DATE,ME,AVG,TIME,RELATIVE SCORE,CO2,TEMP
04/24/19,109,165,,66.0606060606061,,
04/24/19,180,259,,69.4980694980695,,
04/24/19,193,229,,84.2794759825327,,
04/24/19,153,262,,58.3969465648855,,
04/24/19,177,235,,75.3191489361702,,
04/24/19,119,146,,81.5068493150685,,
04/24/19,74,100,,74,,
04/24/19,218,316,,68.9873417721519,,
04/24/19,108,211,,51.1848341232227,,
04/24/19,181,226,,80.0884955752212,,
04/24/19,136,187,,72.7272727272727,,
04/24/19,84,133,,63.1578947368421,,
04/24/19,147,223,,65.9192825112108,,
04/24/19,178,217,,82.0276497695853,,
04/24/19,88,121,,72.7272727272727,,
04/24/19,167,310,,53.8709677419355,,
04/24/19,154,178,,86.5168539325843,,
04/24/19,146,146,,100,,
04/24/19,174,169,,102.958579881657,,
04/24/19,153,243,,62.962962962963,,
04/24/19,104,163,,63.8036809815951,,
04/24/19,178,265,,67.1698113207547,,
04/24/19,201,197,,102.030456852792,,
04/24/19,146,172,,84.8837209302326,,
04/24/19,153,236,,64.8305084745763,,
04/25/19,241,252,,95.6349206349206,,
04/25/19,144,182,,79.1208791208791,,
04/25/19,124,207,,59.9033816425121,,
04/25/19,173,236,,73.3050847457627,,
04/25/19,116,141,,82.2695035460993,,
04/25/19,137,204,,67.156862745098,,
04/25/19,154,195,,78.974358974359,,
04/25/19,177,162,,109.259259259259,,
04/25/19,173,210,,82.3809523809524,,
04/25/19,140,174,,80.4597701149425,,
04/25/19,179,269,,66.542750929368,,
04/25/19,104,126,,82.5396825396825,,
04/25/19,223,230,,96.9565217391304,,
04/25/19,207,266,,77.8195488721805,,
04/25/19,121,154,,78.5714285714286,,
04/25/19,126,143,,88.1118881118881,,
04/25/19,109,125,,87.2,,
04/25/19,107,181,,59.1160220994475,,
04/25/19,131,169,,77.5147928994083,,
04/25/19,83,102,,81.3725490196078,,
04/26/19,150,190,,78.9473684210526,,
04/26/19,210,191,,109.947643979058,,
